input,output,category_encoded
The community centre in our area is in poor condition.,urban development,8
The hospital laboratory does not provide reports on time.,healthcare,5
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related,9
We are experiencing low voltage in our neighbourhood.,energy,3
Residents ko accessibility ki problem ho rahi hai kyunki public buses mein proper wheelchair access available nahi hai.,accessibility,0
हमारे क्षेत्र की मुख्य सड़क पर बड़े-बड़े गड्ढे हैं।,urban development,8
I am facing an issue because there is no wheelchair ramp at the entrance of the government building.,accessibility,0
हमारे क्षेत्र के खेल मैदान की तुरंत मरम्मत की जरूरत है।,urban development,8
सरकारी कार्यालय में सेवाओं का अपडेटेड समय प्रदर्शित नहीं किया गया है।,public administration,6
The canal water supply to our village is irregular.,agriculture,1
The local civic facility does not provide adequate accessibility support.,accessibility,0
The road construction work has been left incomplete for months.,urban development,8
Bad weather ke time power supply unstable ho jati hai.,energy,3
Rural youth ke liye nearby vocational training centre available nahi hai.,rural livelihood,7
स्थानीय कृषि केंद्र में खाद की कमी है।,agriculture,1
स्थानीय स्वास्थ्य केंद्र निर्धारित समय में खुला नहीं रहता है।,healthcare,5
Ye ek serious public administration issue hai: concerned department application status update nahi kar raha hai.,public administration,6
स्थानीय सरकारी रोजगार योजना के तहत नियमित रूप से काम नहीं मिलता है।,rural livelihood,7
The hospital has very long waiting times for patients.,healthcare,5
Ek damaged electricity pole abhi tak repair nahi hua hai.,energy,3
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration,6
Farmers in our area are facing a problem because the road connecting our farms to the main market is badly damaged.,agriculture,1
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related,9
Public office ke officials working hours mein frequently available nahi hote.,public administration,6
Officials are delaying the verification of submitted documents.,public administration,6
Railway station par adequate accessibility facilities nahi hain.,accessibility,0
Hamare locality ke playground ko urgent repair ki zarurat hai.,urban development,8
The municipal water pipeline is leaking near our street.,water related,9
Local jobs ki shortage ki wajah se hamare area ke log migrate kar rahe hain.,rural livelihood,7
Main is problem se pareshan hoon kyunki government building ke entrance par wheelchair ke liye ramp nahi hai.,accessibility,0
Local civic facility mein adequate accessibility support available nahi hai.,accessibility,0
पास की फैक्ट्रियों से निकलने वाला धुआं हमारे क्षेत्र में वायु प्रदूषण कर रहा है।,environment,4
Officials at the public office are frequently unavailable during working hours.,public administration,6
सरकारी सेवा काउंटर पर बहुत भीड़ रहती है और व्यवस्था खराब है।,public administration,6
स्थानीय स्वास्थ्य केंद्र में बुनियादी चिकित्सा उपकरण नहीं हैं।,healthcare,5
The health centre does not have enough beds for patients.,healthcare,5
Main complaint register karna chahta hoon ki small rural businesses ko adequate government support nahi mil raha hai.,rural livelihood,7
Exposed electrical wires residents ke liye safety risk create kar rahe hain.,energy,3
The water tanker does not arrive on its scheduled time.,water related,9
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि बिजली मीटर लगाने का अनुरोध अभी तक पूरा नहीं हुआ है।,energy,3
अस्पताल में दिव्यांग लोगों के लिए उचित सुविधाएं नहीं हैं।,healthcare,5
मैं शिकायत दर्ज करना चाहता हूं कि हमारे गांव में लोगों के लिए रोजगार के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
खुले बिजली के तार स्थानीय लोगों के लिए सुरक्षा का खतरा पैदा कर रहे हैं।,energy,3
Local agriculture centre mein fertilizers ki shortage hai.,agriculture,1
Construction waste has been dumped on the roadside.,environment,4
Hamare locality mein installed solar streetlights functioning nahi hain.,energy,3
मैं शिकायत दर्ज करना चाहता हूं कि स्थानीय बाजार छोटे ग्रामीण उत्पादकों को पर्याप्त सहायता नहीं देता है।,rural livelihood,7
The agricultural electricity supply is frequently interrupted.,agriculture,1
The public dustbins in our area are overflowing.,environment,4
Main road par water pipeline mein major leakage hai.,water related,9
The footpath in our area is not accessible for wheelchair users.,accessibility,0
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related,9
Local government office mein proper grievance desk nahi hai.,public administration,6
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration,6
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education,2
School mein students ke liye enough desks aur benches nahi hain.,education,2
किसानों के लिए कृषि मशीनरी की उपलब्धता बहुत कम है।,agriculture,1
Hamare area mein trees cut kiye ja rahe hain aur replacement mein naye trees nahi lagaye ja rahe.,environment,4
Students are not receiving proper mid-day meals at the school.,education,2
Our locality has been without electricity for several hours.,energy,3
Local government office mein bahut long waiting time hai.,public administration,6
Nearby factories ka smoke hamare locality mein air pollution cause kar raha hai.,environment,4
There is no proper street lighting near the public road.,energy,3
Residents in our area are facing a problem because the water supply timings are irregular and inconvenient.,water related,9
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related,9
अस्पताल में मरीजों को बहुत लंबे समय तक इंतजार करना पड़ता है।,healthcare,5
स्थानीय लोग परेशान हैं क्योंकि कक्षाएं बहुत अधिक भीड़ वाले कमरों में चल रही हैं।,education,2
I want to report that there are frequent power cuts in our locality.,energy,3
खुले बिजली के तार स्थानीय लोगों के लिए सुरक्षा का खतरा पैदा कर रहे हैं।,energy,3
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education,2
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related,9
Please register my complaint that the diagnostic testing facility is not working properly.,healthcare,5
The application submitted to the government office has not been processed.,public administration,6
Please meri complaint register karein ki local water body mein sewage aur waste discharge kiya ja raha hai.,environment,4
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related,9
The toilets in the school are dirty and not maintained.,education,2
स्कूल के शौचालय गंदे हैं और उनकी सफाई नहीं होती।,education,2
Government service counter overcrowded hai aur management poor hai.,public administration,6
Our locality has been without water for several days.,water related,9
हमारे क्षेत्र में कचरा संग्रहण की सेवा नियमित नहीं है।,environment,4
पैदल यात्री क्रॉसिंग पर सुलभ सिग्नल की सुविधा नहीं है।,accessibility,0
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood,7
Hamare area ka footpath wheelchair users ke liye accessible nahi hai.,accessibility,0
Ye ek serious problem hai ki students ke liye school mein proper library facility nahi hai.,education,2
Government clinic mein doctor timings regular nahi hain.,healthcare,5
सार्वजनिक भवन में सीढ़ियों का उपयोग न कर पाने वाले लोगों के लिए लिफ्ट नहीं है।,accessibility,0
The school playground is damaged and cannot be used safely.,education,2
"Footpath bahut uneven hai, jiski wajah se elderly aur disabled pedestrians ko problem hoti hai.",accessibility,0
There is poor drainage along the main road in our locality.,urban development,8
I am facing an issue because the road connecting our farms to the main market is badly damaged.,agriculture,1
स्थानीय सरकारी रोजगार योजना के तहत नियमित रूप से काम नहीं मिलता है।,rural livelihood,7
मैं शिकायत दर्ज करना चाहता हूं कि निर्माण कार्य के कारण बहुत अधिक धूल प्रदूषण हो रहा है।,environment,4
Construction waste has been dumped on the roadside.,environment,4
हमारे घर के पास खराब बिजली की केबल अभी तक नहीं बदली गई है।,energy,3
Hamare area ke residents ko problem ho rahi hai kyunki hamare locality mein regular water supply nahi hai.,water related,9
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related,9
Hamare area ke residents ko problem ho rahi hai kyunki electricity meter installation request abhi tak process nahi hui hai.,energy,3
Please meri complaint register karein ki residents ko government services ke baare mein clear information nahi milti.,public administration,6
Main complaint register karna chahta hoon ki residents ko government services ke baare mein clear information nahi milti.,public administration,6
Local health centre mein basic medical equipment available nahi hai.,healthcare,5
ग्रामीण कारीगरों के लिए अपने उत्पाद बेचने के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
Hamare area mein water supply frequently interrupt hoti hai.,water related,9
The public service counter is too high for wheelchair users.,accessibility,0
खड़ी की गई गाड़ियां सुलभ फुटपाथ को रोक रही हैं।,accessibility,0
School mein students ke liye enough desks aur benches nahi hain.,education,2
The water supplied to our locality contains visible dirt.,water related,9
सरकारी स्वास्थ्य केंद्र में दवाइयों की कमी है।,healthcare,5
सरकारी कार्यालय में वरिष्ठ नागरिकों के लिए उचित सहायता उपलब्ध नहीं है।,public administration,6
हमारे गांव में नहर से पानी की आपूर्ति अनियमित है।,agriculture,1
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि स्थानीय जल स्रोत में सीवेज और कचरा डाला जा रहा है।,environment,4
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि बिजली मीटर लगाने का अनुरोध अभी तक पूरा नहीं हुआ है।,energy,3
Hamare area mein electricity supply bahut unreliable hai.,energy,3
दृष्टिबाधित पैदल यात्रियों के लिए टैक्टाइल पथ नहीं है।,accessibility,0
स्थानीय कृषि केंद्र में खाद की कमी है।,agriculture,1
Please meri complaint register karein ki mere area ke government hospital mein enough doctors nahi hain.,healthcare,5
Patients are being asked to buy medicines that should be available at the hospital.,healthcare,5
The road construction work has been left incomplete for months.,urban development,8
Hamare community ka electricity connection adequate nahi hai.,energy,3
Hamare area ka community centre poor condition mein hai.,urban development,8
मैं शिकायत दर्ज करना चाहता हूं कि स्थानीय प्रशासन ने निवासियों के अनुरोधों का जवाब नहीं दिया है।,public administration,6
कृपया मेरी शिकायत दर्ज करें कि अस्पताल में जांच की सुविधा ठीक से काम नहीं कर रही है।,healthcare,5
The municipal water pipeline is leaking near our street.,water related,9
स्थानीय सरकारी कार्यालय में बहुत लंबे समय तक इंतजार करना पड़ता है।,public administration,6
"लोग खुले में कचरा जला रहे हैं, जिससे वायु प्रदूषण हो रहा है।",environment,4
There is no proper footpath for pedestrians on this road.,urban development,8
The school has very limited computer facilities for students.,education,2
स्थानीय मंडी में किसानों के लिए उचित सुविधाएं नहीं हैं।,agriculture,1
I am facing an issue because the electricity outage continues despite repeated complaints.,energy,3
किसानों को सब्सिडी वाले बीज प्राप्त करने में परेशानी हो रही है।,agriculture,1
The toilets in the government hospital are dirty and poorly maintained.,healthcare,5
हमारे गांव के लोगों को समस्या हो रही है क्योंकि हमारे गांव में लोगों के लिए रोजगार के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education,2
Local agriculture centre mein fertilizers ki shortage hai.,agriculture,1
हमारे गांव की महिला उद्यमियों को उचित संस्थागत सहायता नहीं मिल रही है।,rural livelihood,7
ग्रामीण कारीगरों के लिए अपने उत्पाद बेचने के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
Main road par water pipeline mein major leakage hai.,water related,9
Hamari street ke paas electricity transformer frequently fail ho raha hai.,energy,3
सड़क चौड़ीकरण के काम से स्थानीय लोगों को अनावश्यक परेशानी हो रही है।,urban development,8
Local government employment scheme mein regularly work nahi milta hai.,rural livelihood,7
Local pond garbage aur plastic ki wajah se polluted ho gaya hai.,environment,4
Government service counter overcrowded hai aur management poor hai.,public administration,6
Solar streetlights installed in our locality are not functioning.,energy,3
सरकारी सेवा काउंटर पर बहुत भीड़ रहती है और व्यवस्था खराब है।,public administration,6
Waste is being dumped openly near residential buildings.,environment,4
मैं शिकायत दर्ज करना चाहता हूं कि सार्वजनिक पार्क में व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ रास्ते नहीं हैं।,accessibility,0
Frequent voltage fluctuations ki wajah se household appliances damage ho rahe hain.,energy,3
Municipal pipeline se residents ko dirty water mil raha hai.,water related,9
Hamare neighbourhood mein voltage bahut low aa raha hai.,energy,3
सरकारी खरीद केंद्र नियमित रूप से किसानों की फसल नहीं खरीद रहा है।,agriculture,1
हमारे क्षेत्र का सार्वजनिक पार्क ठीक से बनाए नहीं रखा जाता है।,urban development,8
Students ke liye school mein proper sanitation facility nahi hai.,education,2
सार्वजनिक भवन में सीढ़ियों का उपयोग न कर पाने वाले लोगों के लिए लिफ्ट नहीं है।,accessibility,0
Ye ek serious rural livelihood issue hai: hamare village mein logon ke liye enough employment opportunities nahi hain.,rural livelihood,7
सरकारी वेबसाइट दृष्टिबाधित लोगों के लिए उपयोग करना बहुत कठिन है।,accessibility,0
मैं शिकायत दर्ज करना चाहता हूं कि बार-बार शिकायत करने के बावजूद बिजली की कटौती जारी है।,energy,3
We are facing a problem because classes are being conducted in overcrowded rooms.,education,2
खराब जल निकासी के कारण बारिश का पानी सड़कों पर जमा हो जाता है।,urban development,8
Residents in our area are facing a problem because the roads in our locality are badly damaged and need repair.,urban development,8
Workers are facing delays in receiving payments for completed public works.,rural livelihood,7
Hamare village mein canal water supply irregular hai.,agriculture,1
Parked vehicles accessible footpath ko block kar rahe hain.,accessibility,0
गांव के युवाओं के लिए सस्ती कौशल विकास सुविधाएं उपलब्ध नहीं हैं।,rural livelihood,7
I am facing an issue because the road has obstacles that make it difficult for wheelchair users to pass.,accessibility,0
Hamare area ki main road par bade potholes hain.,urban development,8
Ye ek serious urban development issue hai: newly constructed road par already cracks aa gaye hain.,urban development,8
The government clinic has irregular doctor timings.,healthcare,5
Local civic facility mein adequate accessibility support available nahi hai.,accessibility,0
Residents are facing an accessibility problem because public buses do not provide proper wheelchair access.,accessibility,0
"Raat mein streetlights off rehti hain, jiski wajah se road unsafe hai.",energy,3
हमारे क्षेत्र की मुख्य सड़क के किनारे जल निकासी की उचित व्यवस्था नहीं है।,urban development,8
Public works complete karne ke baad workers ko payment milne mein delay ho raha hai.,rural livelihood,7
Hamare area mein garbage collection service regular nahi hai.,environment,4
Hamare area mein trees cut kiye ja rahe hain aur replacement mein naye trees nahi lagaye ja rahe.,environment,4
Please meri complaint register karein ki small farmers ke liye fertilizer prices bahut high hain.,agriculture,1
Residential buildings ke paas openly waste dump kiya ja raha hai.,environment,4
Hamare locality mein proper recycling facility available nahi hai.,environment,4
स्थानीय कृषि केंद्र में खाद की कमी है।,agriculture,1
हमारे क्षेत्र का ट्रांसफॉर्मर ओवरलोड है और बार-बार ट्रिप करता है।,energy,3
The railway station does not have adequate accessibility facilities.,accessibility,0
Patients ko woh medicines bahar se buy karni padti hain jo hospital mein available honi chahiye.,healthcare,5
Local agriculture centre mein fertilizers ki shortage hai.,agriculture,1
There is a serious urban development issue: the public seating area in our locality is damaged.,urban development,8
Students ki sankhya ke hisaab se school mein enough teachers nahi hain.,education,2
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education,2
Newly developed residential area mein basic civic infrastructure ki shortage hai.,urban development,8
Residents in our area are facing a problem because the electricity meter installation request has not been processed.,energy,3
स्थानीय सरकारी कार्यालय में उचित शिकायत निवारण डेस्क नहीं है।,public administration,6
Visually impaired passengers ke liye audio announcements nahi hain.,accessibility,0
Government office mein disabled people ke liye accessible entrance nahi hai.,accessibility,0
Government office mein disabled people ke liye accessible entrance nahi hai.,accessibility,0
मैं इस समस्या से परेशान हूं क्योंकि स्थानीय बाजार छोटे ग्रामीण उत्पादकों को पर्याप्त सहायता नहीं देता है।,rural livelihood,7
The footpath is too uneven for elderly and disabled pedestrians.,accessibility,0
Hamare locality mein several hours se electricity nahi hai.,energy,3
Ye ek serious rural livelihood issue hai: hamare village mein small businesses ke liye proper facilities ki shortage hai.,rural livelihood,7
Local students ko problem ho rahi hai kyunki classes bahut overcrowded rooms mein conduct ho rahi hain.,education,2
The education department has not resolved repeated complaints about the school.,education,2
Hamare village mein canal water supply irregular hai.,agriculture,1
Is road par pedestrians ke liye proper footpath nahi hai.,urban development,8
Hamare village ke farm workers ko enough seasonal employment nahi milta.,rural livelihood,7
Local pond garbage aur plastic ki wajah se polluted ho gaya hai.,environment,4
Residents in our area are facing a problem because several streetlights in our area are not working.,energy,3
There are parked vehicles blocking the accessible footpath.,accessibility,0
"हमारे क्षेत्र में समस्या यह है कि स्कूल में बिजली की आपूर्ति ठीक नहीं है, जिससे पढ़ाई प्रभावित होती है।",education,2
