complaint,category,category_encoded
Poor accessibility information for government buildings,accessibility,0
Difficulty obtaining government services in remote villages,public administration,6
Smart detection and prediction of municipal water-pipeline leakage,water related,9
Intelligent traffic management around schools and hospitals,urban development,8
AI-based road deterioration prediction,urban development,8
Smart street-light energy optimization,energy,3
AI-based illegal waste-dumping detection,environment,4
Smart sewage and drinking-water contamination monitoring,water related,9
Disaster damage assessment using satellite and drone imagery,public administration,6
Predictive maintenance of public infrastructure,urban development,8
Smart ambulance routing during peak traffic,healthcare,5
Low-cost rural water-quality monitoring,water related,9
Agricultural-waste-to-energy conversion,agriculture,1
Real-time monitoring of government-building energy consumption,energy,3
Lack of digital platforms connecting rural workers with employment opportunities,rural livelihood,7
Farmers lack access to reliable market price information,rural livelihood,7
Rural communities lack affordable cold storage for agricultural produce,rural livelihood,7
Lack of skill-development opportunities for rural workers,rural livelihood,7
Small rural businesses struggle to access suitable financial and technical support,rural livelihood,7
Government applications remain pending for months without status updates,public administration,6
Citizens cannot easily track the progress of government service requests,public administration,6
Lack of transparency in allocation of public infrastructure projects,public administration,6
Government departments lack efficient systems for handling recurring public complaints,public administration,6
Citizens in remote areas have difficulty accessing online government services,public administration,6
Government schools lack adequate digital learning infrastructure,education,2
Students in rural schools lack access to qualified subject teachers,education,2
Government schools struggle to monitor student attendance and dropout rates,education,2
Lack of affordable technology for practical science education in government schools,education,2
Educational institutions lack systems to identify students at risk of dropping out,education,2
