input,output
Residents are forced to buy water because the municipal supply is inadequate.,water related
There is a shortage of drinking water in our neighbourhood.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related
The water supplied to our locality contains visible dirt.,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
मैं इस समस्या से परेशान हूं क्योंकि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
Main complaint register karna chahta hoon ki drinking water pipeline contaminated ho gayi hai.,water related
There are not enough public water taps in our area.,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
I am facing an issue because there is no regular water supply in our locality.,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
Our locality has been without water for several days.,water related
Residents are forced to buy water because the municipal supply is inadequate.,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
There is a major water leakage on the main road.,water related
Main complaint register karna chahta hoon ki drinking water pipeline contaminated ho gayi hai.,water related
Residents are forced to buy water because the municipal supply is inadequate.,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
There is a shortage of drinking water in our neighbourhood.,water related
Residents are receiving dirty water from the municipal pipeline.,water related
Hamare area ke residents ko problem ho rahi hai kyunki community water tank damaged hai aur repair ki zarurat hai.,water related
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
There is very low water pressure in our locality.,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
There are not enough public water taps in our area.,water related
Municipal pipeline se residents ko dirty water mil raha hai.,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
मैं इस समस्या से परेशान हूं क्योंकि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
There is a serious water-related issue: the community water tank is damaged and needs repair.,water related
Hamare area ke residents ko problem ho rahi hai kyunki water supply timings irregular aur inconvenient hain.,water related
There is a major water leakage on the main road.,water related
Please register my complaint that the drinking water pipeline is contaminated.,water related
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
Main road par water pipeline mein major leakage hai.,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
यह एक गंभीर जल संबंधी समस्या है: हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
The hand pump in our locality is broken and has not been repaired.,water related
There is a serious water-related issue: there is no regular water supply in our locality.,water related
There is very low water pressure in our locality.,water related
The water supply is interrupted frequently in our area.,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
There are not enough public water taps in our area.,water related
The drainage water is mixing with the drinking water supply.,water related
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
Residents are receiving dirty water from the municipal pipeline.,water related
Residents are forced to buy water because the municipal supply is inadequate.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
Water is being wasted because of an unrepaired pipeline leak.,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
Residents are receiving dirty water from the municipal pipeline.,water related
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related
The tap water has a bad smell and is not safe to drink.,water related
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
Residents in our area are facing a problem because the community water tank is damaged and needs repair.,water related
Residents in our area are facing a problem because there is no regular water supply in our locality.,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
The water supplied to our locality contains visible dirt.,water related
Residents in our area are facing a problem because the water supply timings are irregular and inconvenient.,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
Hamare area ke residents ko problem ho rahi hai kyunki hamare locality mein regular water supply nahi hai.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
Main complaint register karna chahta hoon ki hamare locality mein regular water supply nahi hai.,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
Please register my complaint that the water supply timings are irregular and inconvenient.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
Hamare area ke residents ko problem ho rahi hai kyunki drinking water pipeline contaminated ho gayi hai.,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
Our locality has been without water for several days.,water related
There is a serious water-related issue: the drinking water pipeline is contaminated.,water related
कृपया मेरी शिकायत दर्ज करें कि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
The public water tank in our area is not being filled regularly.,water related
The water supply is interrupted frequently in our area.,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
There is very low water pressure in our locality.,water related
The public water tank in our area is not being filled regularly.,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
The municipal water pipeline is leaking near our street.,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
There is very low water pressure in our locality.,water related
कृपया मेरी शिकायत दर्ज करें कि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related
The water supply is interrupted frequently in our area.,water related
Hamare area mein enough public water taps nahi hain.,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
Main road par water pipeline mein major leakage hai.,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
Hamare area mein enough public water taps nahi hain.,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
I want to report that the community water tank is damaged and needs repair.,water related
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related
Residents are receiving dirty water from the municipal pipeline.,water related
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related
Main road par water pipeline mein major leakage hai.,water related
Our locality has been without water for several days.,water related
यह एक गंभीर जल संबंधी समस्या है: सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
The municipal water pipeline is leaking near our street.,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
मैं शिकायत दर्ज करना चाहता हूं कि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related
There is very low water pressure in our locality.,water related
Main is problem se pareshan hoon kyunki hamare locality mein regular water supply nahi hai.,water related
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related
Water is being wasted because of an unrepaired pipeline leak.,water related
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related
I want to report that the drinking water pipeline is contaminated.,water related
The municipal water pipeline is leaking near our street.,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
Please meri complaint register karein ki drinking water pipeline contaminated ho gayi hai.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
The water tanker does not arrive on its scheduled time.,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
मैं शिकायत दर्ज करना चाहता हूं कि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related
I am facing an issue because the community water tank is damaged and needs repair.,water related
The drainage water is mixing with the drinking water supply.,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related
The public water tank in our area is not being filled regularly.,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
Hamare locality mein water pressure bahut low hai.,water related
कृपया मेरी शिकायत दर्ज करें कि पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related
Residents are receiving dirty water from the municipal pipeline.,water related
पानी का टैंकर निर्धारित समय पर नहीं आता है।,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
The public water tank in our area is not being filled regularly.,water related
Residents are receiving dirty water from the municipal pipeline.,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
Municipal pipeline se residents ko dirty water mil raha hai.,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
The water tanker does not arrive on its scheduled time.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
यह एक गंभीर जल संबंधी समस्या है: हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
The hand pump in our locality is broken and has not been repaired.,water related
Our locality has been without water for several days.,water related
The tap water has a bad smell and is not safe to drink.,water related
Please register my complaint that the water supply timings are irregular and inconvenient.,water related
Ye ek serious water-related issue hai: hamare locality mein regular water supply nahi hai.,water related
The public water tank in our area is not being filled regularly.,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
Main is problem se pareshan hoon kyunki hamare locality mein regular water supply nahi hai.,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
पानी का टैंकर निर्धारित समय पर नहीं आता है।,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
Municipal pipeline se residents ko dirty water mil raha hai.,water related
The water supplied to our locality contains visible dirt.,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
The water supply is interrupted frequently in our area.,water related
Hamare locality mein water pressure bahut low hai.,water related
Main complaint register karna chahta hoon ki community water tank damaged hai aur repair ki zarurat hai.,water related
Hamare locality mein water pressure bahut low hai.,water related
Our locality has been without water for several days.,water related
There is a serious water-related issue: there is no regular water supply in our locality.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
मैं इस समस्या से परेशान हूं क्योंकि पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related
The water supplied to our locality contains visible dirt.,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
I want to report that the water supply timings are irregular and inconvenient.,water related
मैं शिकायत दर्ज करना चाहता हूं कि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
Residents are receiving dirty water from the municipal pipeline.,water related
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
मैं इस समस्या से परेशान हूं क्योंकि पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
Main road par water pipeline mein major leakage hai.,water related
Municipal pipeline se residents ko dirty water mil raha hai.,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
The municipal water pipeline is leaking near our street.,water related
Ye ek serious water-related issue hai: water supply timings irregular aur inconvenient hain.,water related
Please meri complaint register karein ki drinking water pipeline contaminated ho gayi hai.,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
The water tanker does not arrive on its scheduled time.,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
There is a shortage of drinking water in our neighbourhood.,water related
There are not enough public water taps in our area.,water related
Hamare area mein enough public water taps nahi hain.,water related
There are not enough public water taps in our area.,water related
There is very low water pressure in our locality.,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
Water is being wasted because of an unrepaired pipeline leak.,water related
पानी का टैंकर निर्धारित समय पर नहीं आता है।,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
The water tanker does not arrive on its scheduled time.,water related
Main is problem se pareshan hoon kyunki drinking water pipeline contaminated ho gayi hai.,water related
There is a serious water-related issue: the community water tank is damaged and needs repair.,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
The hand pump in our locality is broken and has not been repaired.,water related
Residents in our area are facing a problem because the community water tank is damaged and needs repair.,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
Hamare area ke residents ko problem ho rahi hai kyunki hamare locality mein regular water supply nahi hai.,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
Ye ek serious water-related issue hai: community water tank damaged hai aur repair ki zarurat hai.,water related
I want to report that there is no regular water supply in our locality.,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
There is a shortage of drinking water in our neighbourhood.,water related
Residents are forced to buy water because the municipal supply is inadequate.,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
Water tanker scheduled time par nahi aata hai.,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related
Please meri complaint register karein ki community water tank damaged hai aur repair ki zarurat hai.,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
Main is problem se pareshan hoon kyunki community water tank damaged hai aur repair ki zarurat hai.,water related
Municipal pipeline se residents ko dirty water mil raha hai.,water related
Please register my complaint that the community water tank is damaged and needs repair.,water related
Main road par water pipeline mein major leakage hai.,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
The water tanker does not arrive on its scheduled time.,water related
Please register my complaint that the community water tank is damaged and needs repair.,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
The hand pump in our locality is broken and has not been repaired.,water related
Ye ek serious water-related issue hai: water supply timings irregular aur inconvenient hain.,water related
Our locality has been without water for several days.,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
Residents are forced to buy water because the municipal supply is inadequate.,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
Water is being wasted because of an unrepaired pipeline leak.,water related
There is a major water leakage on the main road.,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
Main is problem se pareshan hoon kyunki water supply timings irregular aur inconvenient hain.,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
पानी का टैंकर निर्धारित समय पर नहीं आता है।,water related
Hamare area mein enough public water taps nahi hain.,water related
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related
There are not enough public water taps in our area.,water related
The drainage water is mixing with the drinking water supply.,water related
यह एक गंभीर जल संबंधी समस्या है: पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related
The municipal water pipeline is leaking near our street.,water related
The public water tank in our area is not being filled regularly.,water related
Main road par water pipeline mein major leakage hai.,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
Hamare area mein enough public water taps nahi hain.,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
यह एक गंभीर जल संबंधी समस्या है: पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related
Main is problem se pareshan hoon kyunki water supply timings irregular aur inconvenient hain.,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related
Residents are receiving dirty water from the municipal pipeline.,water related
The water supplied to our locality contains visible dirt.,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related
Please meri complaint register karein ki community water tank damaged hai aur repair ki zarurat hai.,water related
Ye ek serious water-related issue hai: drinking water pipeline contaminated ho gayi hai.,water related
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related
The water supply is interrupted frequently in our area.,water related
There is a shortage of drinking water in our neighbourhood.,water related
Main road par water pipeline mein major leakage hai.,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
Hamare locality mein water pressure bahut low hai.,water related
There is very low water pressure in our locality.,water related
Hamare area ke residents ko problem ho rahi hai kyunki drinking water pipeline contaminated ho gayi hai.,water related
Water is being wasted because of an unrepaired pipeline leak.,water related
Main road par water pipeline mein major leakage hai.,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
Water tanker scheduled time par nahi aata hai.,water related
पानी का टैंकर निर्धारित समय पर नहीं आता है।,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
कृपया मेरी शिकायत दर्ज करें कि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
The public water tank in our area is not being filled regularly.,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related
There is a shortage of drinking water in our neighbourhood.,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related
The drainage water is mixing with the drinking water supply.,water related
The water supplied to our locality contains visible dirt.,water related
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related
Please meri complaint register karein ki water supply timings irregular aur inconvenient hain.,water related
Please register my complaint that there is no regular water supply in our locality.,water related
I want to report that the water supply timings are irregular and inconvenient.,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
The water supplied to our locality contains visible dirt.,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
The public water tank in our area is not being filled regularly.,water related
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related
I am facing an issue because the water supply timings are irregular and inconvenient.,water related
कृपया मेरी शिकायत दर्ज करें कि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
Hamare area mein kai days se water supply nahi hui hai.,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
There is a serious water-related issue: the water supply timings are irregular and inconvenient.,water related
The drainage water is mixing with the drinking water supply.,water related
There is a shortage of drinking water in our neighbourhood.,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
Please register my complaint that the drinking water pipeline is contaminated.,water related
